Username,Handle,Timestamp,Comments,Likes,Retweets,Text
CAPITÃO CAVERNA,@MarcosPimt,2021-12-06T18:37:59.000Z,"CAPITÃO CAVERNAEm resposta a 
@lfcarr
 e 
@erikakokay",2,,
carlos pierre,@carlospgoliv,2021-12-06T18:25:19.000Z,"carlos pierreEm resposta a 
@judepaulla1",,,
#BrasilRepublicaPresidencialista,@Keila31177845,2021-12-06T18:00:28.000Z,"#BrasilRepublicaPresidencialistaEm resposta a 
@zeliaduncan",,,
Projeto Circular,@circularbelem,2021-12-06T17:58:12.000Z,"Projeto CircularO Centro Histórico de Belém na palma da mão! 

Roteiros, dicas gastronômicas, pontos turísticos!  
O app foi desenvolvido pela UX | UI e Desenvolvimento - Studio Uxi, com o apoio do projeto parceiro Roteiros GeoTurísticos. Patrocínio Banco da Amazônia e Alubar, via LeiRouanet.",1,,8
Cnc76 Macho Alpha!!!,@Cnc712,2021-12-06T17:48:58.000Z,"Cnc76 Macho Alpha!!!Em resposta a 
@zeliaduncan",,,
Cultura e Mercado,@cultmerc,2021-12-06T17:40:36.000Z,"Cultura e MercadoAGU julgou ilegal o veto ao “passaporte da vacina” em projetos da Lei Rouanet, antes da publicação da portaria. Leia no site:
https://culturaemercado.com.br",,,
Mirian,@Mirian75858248,2021-12-06T17:34:34.000Z,"MirianEm resposta a 
@brunogagliasso",,,
Sté ☭,@Stefanipaivas,2021-12-06T17:29:00.000Z,"Sté ☭Em resposta a 
@littleorangeju
 e 
@joaoherbella",,,
Marcio Farias,@Marcio76212922,2021-12-06T17:19:04.000Z,"Marcio FariasEm resposta a 
@viniciussexto",,,1
Júlia,@julian_giulia,2021-12-06T16:40:51.000Z,"JúliaEm resposta a 
@CPorchera
 @Cesar_cjb
 e mais 2",,,4
mauroquintinosiqueir,@maurimsiqueira,2021-12-06T16:27:50.000Z,"mauroquintinosiqueirEm resposta a 
@zeliaduncan",,,
Cleusa Maria Gomes,@CleusaMariagom3,2021-12-06T16:00:50.000Z,"Cleusa Maria GomesEm resposta a 
@sergiodireita1
 e 
@Nemesisdec2012",,2,5
cavp,@CPorchera,2021-12-06T15:39:53.000Z,"cavpEm resposta a 
@Cesar_cjb
 @eoq_ofc
 e 
@judepaulla1",4,3,
Alexandre Machado,@machalves,2021-12-06T15:39:18.000Z,"Alexandre MachadoEm resposta a 
@governosp
 e 
@CPTM_oficial",1,,
Alê Lopes - Direita Brasil,@Alelopes81Lopes,2021-12-06T15:20:57.000Z,"Alê Lopes - Direita BrasilSilvio Santos segundo o Diretor 
@WagnerMouraReal
, e após a Lei Rouanet.

Vendo lenços ",,,5
JOAO ROSSI,@JOAOROS36122212,2021-12-06T15:17:13.000Z,JOAO ROSSIZélia vai cantar que a lei rouanet acabou.,,,
Endireitando,@SancyMarcelo,2021-12-06T14:31:38.000Z,"EndireitandoEm resposta a 
@CarlosBolsonaro",,,
espectro 2a conta SDV,@CelsodOespectro,2021-12-06T14:28:52.000Z,"espectro 2a conta SDV@AdrillesRJorge
 ñ podemos esquecer q a calasse artística, em especial o elenco da 
@TVGlobo_Oficial
 outrora adorado pela população, hoje é odiado. Sanguessugas, mamadores da Lei Rouanet.
#MorningShow",,,
Colorada petista,@camaradaLu,2021-12-06T14:00:13.000Z,"Colorada petistaEm resposta a 
@mgncpi
 e 
@Erbl1958",1,,2
José Cláudio Borges Leite,@CludioBorge2,2021-12-06T13:53:27.000Z,"José Cláudio Borges LeiteEm resposta a 
@danielamercury",,,
ejmorais59,@ejmorais59,2021-12-06T13:49:06.000Z,"ejmorais59Em resposta a 
@lucilia_mello",,,
José Cláudio Borges Leite,@CludioBorge2,2021-12-06T13:46:15.000Z,"José Cláudio Borges LeiteEm resposta a 
@danielamercury",,,
Aurelio Lima,@AurelioLima,2021-12-06T13:26:07.000Z,"Aurelio LimaMas pra ele, quem rouba o povo são os da Lei Rouanet",,,2
Lei Rouanet,@guilherme_yaco,2021-12-06T13:15:27.000Z,"Lei Rouaneteu: assisto senhor dos aneis pirateado que uma amiga baixou e botou na tv

minha timeline do meio do nada: então né vou ser obrigada a te encher de senhor dos aneis",,,
Rui Silva,@RuiSilva64,2021-12-06T13:14:24.000Z,Rui SilvaComeçou o fim de ano sem a Lei Rouanet.,,,
Mirian Mar,@zappia_mar,2021-12-06T13:04:00.000Z,"Mirian MarEm resposta a 
@brunogagliasso",,,
Fernan Diniz,@hdbeaga1,2021-12-06T12:58:10.000Z,"Fernan DinizEm resposta a 
@em_com",,,1
Bello bello,@plusbello,2021-12-06T12:49:14.000Z,"Bello belloNOVA VERSÃO DA LEI ROUANET!

O secretário da Cultura de Jair Bolsonaro contratou uma construtora sem funcionários da Paraíba para realizar uma obra no Centro Técnico Audiovisual, que fica no Rio, a 2.400 km de distância",22,63,142
guido,@guidos39,2021-12-06T12:43:07.000Z,guidoVoce tem feito essa separacao por odio com maestria mas o seu odio eh apenas pelo fim da Lei Rouanet dos ricos e famosos ou tem algum motivo verdadeiro tambem?,,,
TÁ NA BOCA DO POVO,@marciel_guedes,2021-12-06T12:13:24.000Z,"TÁ NA BOCA DO POVOEm resposta a 
@mvbrufino2
 @ketquel
 e 
@danielamercury",1,,2
Rui Baldini Magri,@RuiMagri,2021-12-06T08:17:06.000Z,"Rui Baldini MagriEm resposta a 
@LucaBorroni2
 e 
@barbaragancia",,,1
Marcelo Tigre,@mac_tgr,2021-12-06T08:01:23.000Z,"Marcelo TigreEm resposta a 
@paulacadamuror
 @mfriasoficial
 e 
@erikazinhauau",,,
Aillton,@Aillton7,2021-12-06T07:20:39.000Z,"AilltonEm resposta a 
@g_garc2",,,
Cnc76 Macho Alpha!!!,@Cnc712,2021-12-06T05:38:20.000Z,"Cnc76 Macho Alpha!!!Em resposta a 
@zeliaduncan",,,3
Darlyanne,@vigorosa21,2021-12-06T05:07:56.000Z,"DarlyanneEm resposta a 
@xupsmaidik
 @Cari93202163
 e mais 4",2,,
Sabrina Carneiro P.,@sabrinapinage,2021-12-06T04:25:55.000Z,"Sabrina Carneiro P.Em resposta a 
@thigagliasso",,,
AL,@AL02248017,2021-12-06T03:59:32.000Z,"ALEm resposta a 
@ericfaria74
 @globoplay
 e 
@mariomagalhaes_",,,
Silvia Hammes,@_SilviaHammes,2021-12-06T03:43:31.000Z,"Silvia HammesNão existe mulher feia, e sim as com abstinência de Lei Rouanet! ",10,17,87
Mauricio,@Mauricioar42,2021-12-06T03:07:26.000Z,"MauricioEm resposta a 
@sergiodireita1
 e 
@DepEduardoCunha",,,
acervo Thales,@Thalespfs,2021-12-06T01:19:24.000Z,acervo Thalesestou lendo um livro cujo sobrenome do autor é ROUANET e óbvio estou 100% do tempo pensando na lei rouanet,,,1
Lucas Oliveira Baldoino,@LucasOl76724987,2021-12-06T00:47:44.000Z,"Lucas Oliveira BaldoinoEm resposta a 
@brunogagliasso",,,
Malon Silva,@marlonsilvadp,2021-12-06T00:43:05.000Z,"Malon SilvaEm resposta a 
@brunogagliasso",,,
Gilmar Barreto,@gilmar_bar,2021-12-06T00:36:19.000Z,"Gilmar BarretoEm resposta a 
@mfriasoficial
 e 
@SlfPG",,,1
trollsensato,@trollsensato,2021-12-06T00:13:40.000Z,"trollsensatoEm resposta a 
@cesarpy
 @TerraBrasilnot
 e 
@ReVillela1",,,2
Lucas,@lukita3m,2021-12-06T00:13:39.000Z,"LucasEm resposta a 
@Maia37892593
 @flowpdc
 e mais 4",1,,
Anticomunista,@little_thigh,2021-12-05T22:18:42.000Z,"AnticomunistaEm resposta a 
@danielamercury
 e 
@jeanwyllys_real",,,1
Marcello,@marce7707,2021-12-05T21:47:50.000Z,"MarcelloEm resposta a 
@silvva_joaoda
 e 
@Felippe_Hermes",,,
MARA (BadInfluencer),@mara_assis,2021-12-05T21:34:40.000Z,"MARA (BadInfluencer)Em resposta a 
@DeputadoFederal",11,2,19
catnetues,@catnetues,2021-12-05T21:16:22.000Z,"catnetuesEm resposta a 
@zeliaduncan",,,1
catnetues,@catnetues,2021-12-05T21:09:52.000Z,"catnetuesEm resposta a 
@zehdeabreu
 @LulaOficial
 e 
@albertocantalic",,,
João Mariano de Almeida,@mariano13_joao,2021-12-05T21:07:56.000Z,João Mariano de AlmeidaArtistas vagabundos que viviam mamando na Lei Rouanet.....,,,
Ivan Mauri Tourino,@MauriTourino,2021-12-05T21:05:25.000Z,"Ivan Mauri TourinoEm resposta a 
@linotiao
 @Jluizc1
 e 
@andreporci",,,
Lê Matos.,@ahfc3,2021-12-05T20:57:30.000Z,"Lê Matos.Em resposta a 
@brunogagliasso",,,
Carla Ruas - Quero um Brasil para todos..de bem!,@CarlaRuas3,2021-12-05T20:54:30.000Z,"Carla Ruas - Quero um Brasil para todos..de bem!Em resposta a 
@brunogagliasso",,,
Alberto,@Alberto75934708,2021-12-05T20:53:35.000Z,"AlbertoEm resposta a 
@zeliaduncan",,,2
Alice Rodrigues,@AliceRo14615657,2021-12-05T20:50:18.000Z,"Alice RodriguesEm resposta a 
@ricardobolsobr",,,2
Alex Willmersdorf,@Alex1932SP,2021-12-05T20:49:32.000Z,"Alex WillmersdorfEm resposta a 
@IvannescaA
 @Eder1040182540
 e 
@brunogagliasso",,,
SCoimb,@SCoimb,2021-12-05T20:40:21.000Z,"SCoimbEm resposta a 
@ricardobolsobr",,,1
Marcelo Fernandes,@Marcelo10475553,2021-12-05T20:29:33.000Z,"Marcelo FernandesEm resposta a 
@brunogagliasso",,,
JOSÉ LUIZ GONTIJO,@joseluizgontijo,2021-12-05T20:26:56.000Z,JOSÉ LUIZ GONTIJOBozo mexeu no bolso do bonitinho e no da gostosa dele. Estão puterrímos. Tal da lei Rouanet,,,1
AGF Tricolor,@AGFtricolor,2021-12-05T20:15:50.000Z,"AGF TricolorEm resposta a 
@zeliaduncan",,,6
Cari,@Cari93202163,2021-12-05T20:03:04.000Z,"CariEm resposta a 
@brunogagliasso",,,
Sarah Pereira,@Sarah1Pereira,2021-12-05T19:54:58.000Z,Sarah PereiraA putaria com a Lei Rouanet - 13 bilhões.,,,2
Almir Ribeiro,@AlmirRi69190962,2021-12-05T19:50:20.000Z,"Almir RibeiroEm resposta a 
@kapitu_rebelde",,1,3
Jorge D'Ambrosio,@JorgeDAmbrosio1,2021-12-05T19:48:44.000Z,"Jorge D'Ambrosio@brunogagliasso
 é mais um idiota Global. O pior é  que sustentamos esses vagabundos durante anos, com grana da lei Rouanet. è bom para o povo ver que esses que se dizem artistas, só pensam neles mesmos e o povo que se dane. Otário.",,,
Dickson Pires,@PiresDickson,2021-12-05T19:37:24.000Z,"Dickson PiresEm resposta a 
@ClaudeLuca_
 e 
@brunogagliasso",,1,3
Neide Prado,@NeidePrado5,2021-12-05T19:32:53.000Z,"Neide PradoEm resposta a 
@BrazilFight",,,
viana,@blackrviana,2021-12-05T19:32:22.000Z,vianaMas o problema era sim a Lei Rouanet,,,1
Andreia Alves de Lara,@Andreia79899820,2021-12-05T19:30:34.000Z,"Andreia Alves de LaraUm cara que não construiu nada, só usou o dinheiro da lei Rouanet, ficou mandando o povo ficar em casa, numa HIPOCRESIA vergonhosa viaja e tira uma foto dessa tô achando que é fetiche o que você tem pelo presidente ou inveja.",,1,3
miltintt,@MiltinEb,2021-12-05T19:13:44.000Z,"miltinttObservando algumas “celebridades”, é sério que nós, contribuintes, bancávamos toda essas vida glamorosa deles, através das verbas publicitárias do governo ou da Lei Rouanet? Como saber? Simples, o PR fechou as torneiras e as ondas de demissão chegaram com força.",2,4,16
Afonso Tang Mamolli,@AMamolli,2021-12-05T19:09:39.000Z,"Afonso Tang MamolliEm resposta a 
@LidiaConta",,,1
Elcio Rabello tá nervoso vai pescar,@ElcioRabello,2021-12-05T19:04:23.000Z,"Elcio Rabello tá nervoso vai pescarEm resposta a 
@zeliaduncan",,,3
Sulla #PressaoNoSenado,@Sulla87034393,2021-12-05T16:42:22.000Z,"Sulla #PressaoNoSenadoA tara por Bolsonaro22 Mito, acompanha os derrotados até no lazer?!?
A lei Rouanet que paga luxo, como ilhas Maldivas, ACABOU, ACABOOOOUUUU!!!",,,
Wallace Novaes,@WallaceNDC,2021-12-05T16:29:21.000Z,"Wallace NovaesEm resposta a 
@brunogagliasso",,,
Wallace Novaes,@WallaceNDC,2021-12-05T16:24:50.000Z,"Wallace NovaesEm resposta a 
@brunogagliasso",,,3
Wallace Novaes,@WallaceNDC,2021-12-05T16:24:22.000Z,"Wallace NovaesEm resposta a 
@brunogagliasso",,,
Jerry,@Jerrydevolta,2021-12-05T16:03:02.000Z,"JerryEm resposta a 
@landaarus
 @brunogagliasso
 e 
@ReceitaFederal",,,1
Kesia Barreto,@KesiaBarret0,2021-12-05T15:54:42.000Z,"Kesia BarretoEm resposta a 
@kogut_sandra",,,2
Cartman85,@Cartman0385,2021-12-05T15:42:15.000Z,"Cartman85Em resposta a 
@JoaquinTeixeira",,,1
"Sou #bolsonarofóbico, não insista!",@LeoRibeiroKing,2021-12-05T15:13:08.000Z,"Sou #bolsonarofóbico, não insista!Acabaram com todos os projetos culturais em nome de uma moral religiosa do governante de plantão, e porque a Lei Rouanet era ""usada por esquerdistas corruptos"" e etc. Destruíram o apoio às artes e ao cinema nacional pra isso 
@alexandremoroso
  Parabéns pelo voto em 2° turno.",,,
Silvinha1772,@silvinha17721,2021-12-05T14:57:51.000Z,"Silvinha1772Em resposta a 
@zeca_dirceu",,1,5
DivaniViegas,@DivaniViegas,2021-12-05T14:44:14.000Z,"DivaniViegasEm resposta a 
@desmentindobozo
 e 
@mfriasoficial",,,4
𝚎𝚞𝚘𝚗𝚕𝚒𝚗𝚎𝚊𝚔𝚒,@euonlineaki,2021-12-05T14:13:59.000Z,"𝚎𝚞𝚘𝚗𝚕𝚒𝚗𝚎𝚊𝚔𝚒Em resposta a 
@conradohubner",,,
Antonio Santos,@Antonio01232238,2021-12-05T14:00:04.000Z,"Antonio SantosOs que querem o Lula ladrão de volta são os órfãos da Lei Rouanet, a Globolixo Folhalixo para ter os bilhões em propaganda do governo federal. São os membros da sua quadrilha que assaltava os bancos e empresas estatais. As Ditaduras via BNDES que ele mandou bilhões de reais.",,1,2
Claudio Olival Rodrigues,@claudio_olival,2021-12-05T13:51:16.000Z,"Claudio Olival RodriguesEm resposta a 
@AMAROK_LUPPUS",,,1
Orville,@Orville87657703,2021-12-05T13:41:41.000Z,"OrvilleEm resposta a 
@zehdeabreu",,,
franksouzatst,@franksouzatst,2021-12-05T13:22:04.000Z,"franksouzatstEm resposta a 
@PauloRMarkoski
 @TerraBrasilnot
 e 
@mfriasoficial",,,2
MINION BOT MAV GADO JB 1ºT 2022 - Ainnn o Valdemar,,2021-12-05T12:24:33.000Z,"MINION BOT MAV GADO JB 1ºT 2022 - Ainnn o ValdemarEmpresários, grandes empresas, mídia mainstream e escritórios de advocacia detinham 95% dos recursos da lei Rouanet.",6,152,262
LacradoComBolsonaro Táóquey,@LopesValco,2021-12-05T12:17:35.000Z,LacradoComBolsonaro TáóqueySem a Lei Rouanet eu não gosto de você. É simples!!!,,,1
Valtensi Barbosa,@ValtensiBarbosa,2021-12-05T12:16:16.000Z,"Valtensi BarbosaEm resposta a 
@niveakalmar",,,
FMFUCA,@FMFUCA1,2021-12-05T12:12:02.000Z,FMFUCASecretário revela que houve R$13 bilhões em gastos não auditados com Lei Rouanet - Diário do Poder,,,1
LacradoComBolsonaro Táóquey,@LopesValco,2021-12-05T11:55:54.000Z,"LacradoComBolsonaro TáóqueyEm resposta a 
@henriolliveira_
 e 
@Gianamonteggia",1,1,4
Alexandre Lucena,@lucena0061,2021-12-05T11:55:02.000Z,"Alexandre Lucena#MamataFrias Esse tal de Frias é do PT,mamando na lei Rouanet.",1,,
Alessandro Ramon,@ArsRamon,2021-12-05T11:50:07.000Z,"Alessandro RamonEm resposta a 
@dimacgarcia",,,
Valdimary Giacomin,@Valldimary,2021-12-05T11:19:39.000Z,"Valdimary GiacominABUSOS DA LEI ROUANET: QUASE UM MILHÃO E MEIO DE REAIS PARA RECITAR POESIAS https://todopoderemanadopovo.com.br/abusos-da-lei-rouanet-quase-um-milhao-e-meio-de-reais-para-recitar-poesias/… via 
@Todo
 Poder Emana do Povo",,,
Luiz Carlinhos Dutra,@dutra_carlinhos,2021-12-05T11:12:50.000Z,"Luiz Carlinhos DutraEm resposta a 
@day_jpg
 @jairbolsonaro
 e 
@rogeriosmarinho",,,1
Angell #CPICOVID,@EmillyLuh,2021-12-05T10:59:16.000Z,"Angell #CPICOVIDO PT criou a lei Rouanet e Bolsonaro acabou com ela e criou a lei ROUBANET !

Família e amigos acima de tudo e de todos!",1,1,1
odilon jose alves fi,@odilon3m,2021-12-05T10:30:23.000Z,"odilon jose alves fiEm resposta a 
@edukrieger",,,1
Dimas serafim de Souza,@DimasSerafim,2021-12-05T10:28:02.000Z,"Dimas serafim de SouzaEm resposta a 
@brunogagliasso",,,
Fakelandia BR,@FakelandiaB,2021-12-05T10:07:09.000Z,"Fakelandia BREm resposta a 
@mfriasoficial
 @andreporci
 e 
@Carmona_SP",,,
Leonardo M Campos,@leo_mcampos,2021-12-05T10:03:45.000Z,"Leonardo M CamposEm resposta a 
@seabra_savio
 @glendakig
 e 
@ClaudiaLeitte",1,,
IronMan Antifascista Vacinado,@EliseuGustavo,2021-12-05T10:03:39.000Z,"IronMan Antifascista VacinadoEm resposta a 
@UOLNoticias",,,
Sonia Alves,@Alves_Sonia1,2021-12-05T06:05:13.000Z,"Sonia AlvesVem aí novo filme nacional, sem patrocínio da Lei Rouanet, ""O viado e a maconheira"" !",,,
alney queiroz cruz,@AlneyC,2021-12-05T04:32:44.000Z,"alney queiroz cruzEm resposta a 
@TerraBrasilnot
 e 
@mfriasoficial",2,1,14
Fabio Silva,@mr345543,2021-12-05T03:31:23.000Z,"Fabio SilvaEm resposta a 
@brunogagliasso",,,
Siléia Castro,@SileiaCastro,2021-12-05T03:23:19.000Z,"Siléia CastroEm resposta a 
@AnaPaula_Fofuxo
 @PENASussu
 e 
@paulobetti3",,,
Rafa eu,@rempsss,2021-12-05T03:02:41.000Z,"Rafa euEm resposta a 
@brunogagliasso",,,
Flavio São Paulo Meu Amor,@FlavioP33401938,2021-12-05T02:39:58.000Z,"Flavio São Paulo Meu AmorEm resposta a 
@brunogagliasso",,,
Or Sassur,@OrSassur,2021-12-05T02:00:18.000Z,"Or Sassurportaria proibindo linguagem neutra; portaria proibindo passaporte sanitário; decreto mudando toda a Lei Rouanet;

Portaria mudando o eixo de investimento para patrimônio histórico, formação profissional e arte sacra; instrução normativa forçando a descentralização dos recursos",1,,
♛NaMinhaOpiniao¹²³,@ApenasPericles,2021-12-05T01:45:59.000Z,"♛NaMinhaOpiniao¹²³Em resposta a 
@TuicoMoreira
 @Eder1040182540
 e mais 2",,,
Mona Lisa Papo Reto,@DaniDSMscience,2021-12-05T01:02:16.000Z,"Mona Lisa Papo RetoEm resposta a 
@jornalnacional",,,1
Eric,@EricCoelhoMed,2021-12-05T00:58:39.000Z,"EricEm resposta a 
@williamJG01
 @n9t_a_cowb9y
 e 
@brunogagliasso",1,,
Eric,@EricCoelhoMed,2021-12-05T00:56:14.000Z,"EricEm resposta a 
@williamJG01
 @n9t_a_cowb9y
 e 
@brunogagliasso",1,,
Julio Cezar Pereira,@JulioCe46976014,2021-12-05T00:10:42.000Z,"Julio Cezar PereiraEm resposta a 
@brunogagliasso",,,
JoséBeneditoC.Miguel,@josebeneditoc,2021-12-05T00:10:32.000Z,"JoséBeneditoC.MiguelFundo Eleitoral, ""Lei Rouanet dos Políticos Desempregados"" (Cachaceiro,Marreco & Cia)!!! Vergonha Nacional!!!",,1,1
Omaro Fadeyro,@OmaroFadeyro,2021-12-05T00:09:47.000Z,"Omaro FadeyroMário Frias, secretário de cultura, contratou sem licitação uma empresa fantasma, por R$ 3,6 milhões. A firma não tem funcionários, nem tem endereço. É muita ironia. Bolsonaristas bradavam contra a mamata da Lei Rouanet e agora fazem pior.

Malhação virou mamação

#MamataFrias",,4,12
Rafa Longhini,@longhinirafa,2021-12-05T00:05:19.000Z,"Rafa LonghiniO 
@LeoLins
  vem fazer show aqui na minha cidade.
Os caras estão xingando ele no Facebook e do nada começaram a me acusar de pegar verba da Lei Rouanet por conta de dois eventos do governo que fiz, só porque o Leo me mencionou no vídeo dele... 
Sem tempo irmão.",18,9,179
Mr.Postman,@Cido46915372,2021-12-04T22:53:49.000Z,"Mr.PostmanEm resposta a 
@Eder1040182540
 e 
@brunogagliasso",,,1
Donizeti Novaes Macedo,@donizeti_novaes,2021-12-04T22:38:31.000Z,"Donizeti Novaes MacedoEm resposta a 
@TonyStarkMeta",,,
verdadesejadita,@ditoseja,2021-12-04T22:27:22.000Z,"verdadesejaditaNenhum ""artista"" baiano sobreviveria sem a lei rouanet, muitos surfaram por anos nesse privilégio e monopólio da música,não é a toa que o país empobreceu culturalmente,filosoficamente,com o empurrão da ""musica""baiana pelo país,nunca foi talento,um mal costume,assim como funk.",,,
Joan Andrei,@andrei_joan1,2021-12-04T22:22:43.000Z,Joan AndreiO tonto que chama Lei Rouanet de mamata hoje aplaude efusivamente a completa falta de transparência no repasse das emendas parlamentares. É um tonto ou não é?,,1,3
ANA PAULA ALMEIDA,@aipimpacoca,2021-12-04T22:20:41.000Z,"ANA PAULA ALMEIDAEm resposta a 
@ManuelaDavila",,,1
Nil a propriotária,@nilsen20,2021-12-04T22:18:29.000Z,"Nil a propriotáriaA mamadeira acabou 

Lei Rouanet: Mario Frias está “endoidando” oposição à Bolsonaro que vivia das regalias da lei https://aliadosbrasiloficial.com.br/noticia/lei-rouanet-mario-frias-esta-endoidando-oposicao-a-bolsonaro-que-vivia-das-regalias-da-lei… #Noticia",,,2
Agda Oliveira,@AgdaOli96919401,2021-12-04T21:50:39.000Z,"Agda Oliveira""O quê importa que ele acabou com a mamata da lei Rouanet""",1,4,6
O Anti Agoniza,@humbert19256716,2021-12-04T21:47:53.000Z,"O Anti AgonizaEm resposta a 
@Everton38057525
 @JoaquinTeixeira
 e 
@brunogagliasso",3,,13
FrankyleneBarros,@frankleneBarros,2021-12-04T21:39:49.000Z,"FrankyleneBarrosEm resposta a 
@alessandromolon",,,11
Manoel Carvalho,@nelcarvalho,2021-12-04T21:17:49.000Z,"Manoel CarvalhoEm resposta a 
@ZellFlorizel
 e 
@LulaOficial",,,
Aliados Brasil,@_AliadosBrasil,2021-12-04T21:12:23.000Z,Aliados BrasilLei Rouanet: Mario Frias está “endoidando” oposição à Bolsonaro que vivia das regalias da lei,,10,45
"Eu Lia, tu Lias",@eu_liane,2021-12-04T20:44:46.000Z,"Eu Lia, tu LiasAcabou o financiamento de artistas de m... com o dinheiro público.

Lei Rouanet: Mario Frias está “endoidando” oposição à Bolsonaro que vivia das regalias da lei
@mfriasoficial",1,,17
Brasil Sem Fardo,@brasilsemfardo,2021-12-04T20:25:07.000Z,"Brasil Sem FardoEm resposta a 
@MBLivre",,,
toshiroMaru,@toshiro_maru,2021-12-04T20:16:51.000Z,"toshiroMaruEm resposta a 
@zeliaduncan
 @guilherme_amado
 e 
@Metropoles",,,1
SHEILA FARIA,@sheilohka,2021-12-04T20:12:43.000Z,SHEILA FARIALei Rouanet: Mario Frias está “endoidando” oposição à Bolsonaro que vivia das regalias da lei https://aliadosbrasiloficial.com.br/noticia/lei-rouanet-mario-frias-esta-endoidando-oposicao-a-bolsonaro-que-vivia-das-regalias-da-lei… #Noticia,,,
tom da depressão,@diegotricolor81,2021-12-04T19:26:51.000Z,"tom da depressãoEm resposta a 
@brunogagliasso",,,
Leila Marx,@leylla_fernande,2021-12-04T19:23:30.000Z,"Leila MarxQuer dizer que o secretário da Cultura não aprova a lei Rouanet, mas aprova contrato ilícito milionário... tsc tsc",,,3
Renato Alves,@renatoalvesdf,2021-12-04T19:12:35.000Z,Renato AlvesO problema é a Lei Rouanet,,6,16
Ivan Valente,@IvanValente,2021-12-04T19:06:44.000Z,Ivan ValenteE tem gente que ainda acha que o problema estava na lei Rouanet,24,78,389
GovernaDino,@GovernaDino,2021-12-04T19:04:05.000Z,GovernaDinoAcabou a corrupsauuummm! Acabou a mamata! Acabou Lei Rouanet!,,,2
ELOAR,@eloarcastelaci,2021-12-04T19:00:56.000Z,"ELOARAcabei de ver Mario Frias está “endoidando” oposição à Bolsonaro que vivia das regalias da lei Rouanet - Clique para ver também ☛  https://terrabrasilnoticias.com/2021/12/mario-frias-esta-endoidando-oposicao-a-bolsonaro-que-vivia-das-regalias-da-lei-rouanet/… via 
@TerraBrasilnot",,,3
Ricardo Suruagy,@suruagymotta,2021-12-04T18:59:00.000Z,"Ricardo SuruagyMario Frias está ""endoidando"" oposição à Bolsonaro que vivia das regalias da lei Rouanet - Terra Brasil Notícias",1,9,35
Douglas Silva,@DowG142,2021-12-04T18:46:18.000Z,"Douglas SilvaEm resposta a 
@Luiz_Vassallo",,1,58
Cuique Suum,@CuiqueSuum4,2021-12-04T18:39:46.000Z,"Cuique SuumO secretário de cultura do govêrno Bolsonaro, Mário Frias, proíbe o financiamento pela Lei Rouanet de espetáculos em que o certificado de vacinação contra covid seja exigido.",,,1
Tulio Cezar Gon,@Tulio_Cezar,2021-12-04T18:36:49.000Z,"Tulio Cezar GonEm resposta a 
@CulturaGovBr
 e 
@mfriasoficial",,,
Camilo,@Camilo56949367,2021-12-04T18:27:35.000Z,"CamiloEm resposta a 
@Glauber_Braga",,,1
Odnalda Whigson Weint 2ªConta,@OdnaldaW2,2021-12-04T18:17:50.000Z,"Odnalda Whigson Weint 2ªContaMario Frias está “endoidando” oposição à Bolsonaro que vivia das regalias da lei Rouanet
@mfriasoficial
 é maravilhoso! Ele e sua equipe seguem rito de justiça e moralização na cultura, outrora usada para favorecer Rouaneteiros.",,2,5
pauloabrolhos,@pauloabrolhos,2021-12-04T18:00:55.000Z,"pauloabrolhosEm resposta a 
@brunogagliasso",,,
André Porciuncula,@andreporci,2021-12-04T17:55:56.000Z,André PorciunculaLembrem-se: ainda está em vigor a portaria que proíbe o criminoso passaporte de vacinação nos projetos financiados pela Lei Rouanet. Denunciem!,56,347,"1,3 mil"
Flavio,@Flavio38121700,2021-12-04T17:50:20.000Z,"FlavioEm resposta a 
@brunogagliasso",,,
Shonuff Reloaded,@xupsmaidik,2021-12-04T17:02:11.000Z,"Shonuff ReloadedEm resposta a 
@vigorosa21
 @Eder1040182540
 e mais 2",2,,10
Cláudio Carneiro ( FORA BOLSONARO!),@calcarneiro85,2021-12-04T16:43:08.000Z,Cláudio Carneiro ( FORA BOLSONARO!)Aquele discurso manjado sobre a Lei Rouanet é para esconder coisas como essa aqui.,,,1
Sabrina,@SaBolsonaro,2021-12-04T16:41:24.000Z,"SabrinaOs cristãos na Secretaria da Cultura já estão com mais de 100 processos movidos pela esquerda, inclusive processos internacionais por ""violação"" dos direitos humanos simplesmente por fazerem auditoria nas contas das Lei Rouanet e impedirem esquerdistas de ficarem ricos com ",6,72,156
Put a Keep Are You!,@DropTheMobile,2021-12-04T16:31:25.000Z,"Put a Keep Are You!Sai a Lei Rouanet, entra a Lei Roubanet.",,1,3
Sol,@SolAndreani2020,2021-12-04T16:08:07.000Z,"SolEm resposta a 
@mfriasoficial",,,
Jojo da Depressão,@Matheus11195784,2021-12-04T15:54:42.000Z,"Jojo da DepressãoEm resposta a 
@brunogagliasso",,,1
Terra Brasil Notícias,@TerraBrasilnot,2021-12-04T15:47:14.000Z,Terra Brasil NotíciasMario Frias está “endoidando” oposição à Bolsonaro que vivia das regalias da lei Rouanet,99,656,"3,5 mil"
China Ina,@chinaina,2021-12-04T15:45:26.000Z,"China InaA lei Rouanet de #MamataFrias só contempla funcionário fantasma... Mas o dinheiro é vivo, viu?",3,8,213
